Sitio web,Título,Subtítulo,Categoría,Enlace
La Gaceta,Un chancho atacó a su dueño: lo mató y se comió parte de sus órganos,La investigación intenta precisar dos posibles situaciones que podrían haber provocado la tragedia.,Mundo,https://www.lagaceta.com.ar/nota/1035114/mundo/chancho-ataco-dueno-lo-mato-se-comio-parte-sus-organos.html
La Gaceta,Las tarifas alentaron la inflación tucumana,El cambio de temporada también impacto en el dato de abril.,Economía,https://www.lagaceta.com.ar/nota/1035107/economia/tarifas-alentaron-inflacion-tucumana.html
La Gaceta,"Anses confirmó que las jubilaciones y pensiones aumentarán 8,83% en junio","Después de conocerse ayer el dato de la inflación de abril, se activa el aumento de los haberes previsionales en el sexto mes del año, según la fórmula de movilidad jubilatoria.",Política,https://www.lagaceta.com.ar/nota/1035106/politica/anses-confirmo-jubilaciones-pensiones-aumentaran-883porciento-junio.html
La Gaceta,Murió una aspirante a gendarme de 18 años tras ser obligada a trotar con neumonía bajo la lluvia,Sucedió en la Escuela de Formación Penitenciaria de Santiago de Chile.,Mundo,https://www.lagaceta.com.ar/nota/1035105/mundo/murio-aspirante-gendarme-18-anos-tras-ser-obligada-trotar-neumonia-bajo-lluvia.html
La Gaceta,Bullrich no podrá ser querellante en la causa que investiga a piqueteros por extorsión,La medida fue adoptada por el juez Sebastián Casanello.,Política,https://www.lagaceta.com.ar/nota/1035101/politica/bullrich-no-podra-ser-querellante-causa-investiga-piqueteros-extorsion.html
La Gaceta,Condenaron a tres años de prisión al estilista Roberto Giordano,"En un juicio abreviado, aceptó su culpabilidad. Lo acusaban de insolvencia fraudulenta: esconder bienes adrede para que no sean embargados.",Espectáculos,https://www.lagaceta.com.ar/nota/1035102/espectaculos/condenaron-tres-anos-prision-al-estilista-roberto-giordano.html
La Gaceta,Es arquera en Tucumán Rugby y se va a jugar en la liga universitaria de hockey de Estados Unidos,Macarena González del Pino le gusta mucho la cultura americana y después de un algunos intentos logró cumplir su sueño.,HOCKEY,https://www.lagaceta.com.ar/nota/1035090/deportes/arquera-tucuman-rugby-se-va-jugar-liga-universitaria-hockey-estados-unidos.html
La Gaceta,El bussismo suma un casillero con la delegación del PAMI en Tucumán,"Martín Fernández González, ex candidato de Fuerza Republicana, fue designado al frente de la sede local del organismo.",Política,https://www.lagaceta.com.ar/nota/1035071/politica/bussismo-suma-casillero-delegacion-pami-tucuman.html
La Gaceta,Así es la especie de Colibrí gigante más grande del mundo,Vuelan a casi 4000 metros de altura y es el ejemplar de mayor tamaño que tiene este tipo de animal.,Sociedad,https://www.lagaceta.com.ar/nota/1035100/sociedad/asi-especie-colibri-gigante-mas-grande-mundo.html
La Gaceta,Posse adelantó cuál es la inflación que prevé el Gobierno y a cuánto llegará el dólar en diciembre,El Jefe de Gabinete habló esta tarde en el Senado y se refirió al plan económico del Gobierno.,Economía,https://www.lagaceta.com.ar/nota/1035099/economia/posse-adelanto-cual-inflacion-preve-gobierno-cuanto-llegara-dolar-diciembre.html
Clarín,El desesperado pedido de Sarmiento de Junín por su utilero: desapareció el lunes después del entrenamiento,"Se trata de Flavio Federico Quinteros, del que no se tienen datos acerca de su paradero.La situación mantiene en vilo al club y a la ciudad del Interior bonaerense.Club Atlético Sarmiento de Junín",Club,https://www.clarin.com//deportes/desesperado-pedido-sarmiento-junin-utilero-desaparecio-lunes-despues-entrenamiento_0_XG09ez322Z.html
Clarín,"El Colegio de Abogados de Rosario sancionó a un letrado que pidió ""ejecutar un periodista todos los días""","Se trata del abogado Leopoldo Lisandro Monteil quien habría expresado esa amenaza y defiende a acusados de narcotráfico. Le suspendieron la matrícula por 6 meses. Es un precedente para otros letrados que presionan periodistas, dijo FOPEA.FOPEA Narcotráfico justicia",FOPEA,https://www.clarin.com//politica/colegio-abogados-rosario-sanciono-letrado-pidio-ejecutar-periodista-dias_0_N34IZzWhe5.html
Clarín,"Copa Argentina: Almirante Brown ganaba 3-0 en el primer tiempo, pero necesitó de los penales para ser rival de Boca","En Santa Fe, el equipo de Bazán Vera se impuso por 3-1 en la definición tras el 3-3 en los 90.San Martín (T) recibió un duro golpe justo después del escándalo que se destapó con su DT.Copa Argentina Boca Juniors",Copa,https://www.clarin.com//deportes/copa-argentina-almirante-brown-ganaba-3-0-primer-tiempo-necesito-penales-rival-boca_0_HRg7jZv84E.html
Clarín,"La locura de Massimiliano Allegri a lo Nelson Vivas en el triunfo de Juventus, que se consagró campeón de la Copa Italia","El DT de la Juve se arrancó el saco como había hecho el hoy ayudante de Diego Simeone, cuando entrenaba a Estudiantes.La Vecchia Signora se impuso por 1-0 sobre Atalanta y levantó el trofeo.Juventus Atalanta Fútbol italiano Nelson Vivas",Juventus,https://www.clarin.com//deportes/locura-massimiliano-allegri-nelson-vivas-triunfo-juventus-consagro-campeon-copa-italia_0_Tw5fFyMe8o.html
Clarín,Deuda de Cammesa: vence el plazo para un acuerdo y Caputo ya arregló un bono por US$ 190 millones,"Es cerca de un tercio de la deuda total, unos US$ 600 millones.Las empresas energéticas mantienen firme su rechazo al arreglo con el Gobierno por los subsidios atrasados. YPF, YPF Luz, PAE, Albanesi y Pluspetrol son las grandes compañías que ya aceptaron.Están adentro el 40% de las productoras de gas pero pocas generadoras eléctricas, que buscan menos quita, menos plazo y el cobro de intereses.subsidios Luis Caputo Bonos y Deuda Pública Argentina deuda",subsidios,https://www.clarin.com//economia/deuda-cammesa-vence-plazo-acuerdo-caputo-arreglo-bono-us-190-millones_0_spV5ZI6t0U.html
Clarín,Creció la cantidad de gente que vive en las calles de la Ciudad y dicen que suben los niveles de violencia,"El Gobierno porteño dio a conocer el último censo y anunció un nuevo modo de abordar la problemática.Los datos revelan que con respecto al año pasado se registró un 8% más de gente viviendo en esas condiciones.Según la Ciudad, el 60% tiene problemas de consumo o psiquiátricos y desde una organización dicen que se los criminaliza.Ciudad de Buenos Aires Pobreza",Ciudad,https://www.clarin.com//ciudades/crecio-cantidad-gente-vive-calles-ciudad-dicen-suben-niveles-violencia_0_FBVv1swzuz.html
Clarín,"""Hay diputados que están untados por Tabacalera Sarandí"", la acusación de un radical sobre la votación de la Ley Bases en la Cámara baja","Jorge Rizzotti, exministro de la provincia de Jujuy, cargó contra sus pares que votaron a favor de beneficiar a la empresa del ""Señor del Tabaco"" Pablo Otero.UCR Diputados Ley Bases Cigarrillos Últimas Noticias",UCR,https://www.clarin.com//politica/diputados-untados-tabacalera-sarandi-acusacion-radical-votacion-ley-bases-camara-baja_0_zmygGdyzv6.html
